;;location;date;total_cases;;;total_deaths;;;;;;;;;;;;;;;;;;;;;;;;;;;total_vaccinations
;;Cote d'Ivoire;11/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;12/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;13/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;14/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;15/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;16/03/2020;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;17/03/2020;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;18/03/2020;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;19/03/2020;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;20/03/2020;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;21/03/2020;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;22/03/2020;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;23/03/2020;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;24/03/2020;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;25/03/2020;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;26/03/2020;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;27/03/2020;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;28/03/2020;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;29/03/2020;165;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;30/03/2020;168;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;31/03/2020;179;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;01/04/2020;190;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;02/04/2020;194;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;03/04/2020;218;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;04/04/2020;245;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;05/04/2020;261;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Cote d'Ivoire;06/04/2020;323;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
