location,date,total_cases,total_deaths,total_vaccinations
Cote d'Ivoire,11/03/2020,1,,
Cote d'Ivoire,12/03/2020,1,,
Cote d'Ivoire,13/03/2020,1,,
Cote d'Ivoire,14/03/2020,1,,
Cote d'Ivoire,15/03/2020,1,,
Cote d'Ivoire,16/03/2020,1,,
Cote d'Ivoire,17/03/2020,5,,
Cote d'Ivoire,18/03/2020,6,,
Cote d'Ivoire,19/03/2020,9,,
Cote d'Ivoire,20/03/2020,9,,
Cote d'Ivoire,21/03/2020,14,,
Cote d'Ivoire,22/03/2020,14,,
Cote d'Ivoire,23/03/2020,25,,
Cote d'Ivoire,24/03/2020,73,,
Cote d'Ivoire,25/03/2020,80,,
Cote d'Ivoire,26/03/2020,96,,
Cote d'Ivoire,27/03/2020,101,,
Cote d'Ivoire,28/03/2020,101,,
Cote d'Ivoire,29/03/2020,165,1.0,
Cote d'Ivoire,30/03/2020,168,1.0,
Cote d'Ivoire,31/03/2020,179,1.0,
Cote d'Ivoire,01/04/2020,190,1.0,
Cote d'Ivoire,02/04/2020,194,1.0,
Cote d'Ivoire,03/04/2020,218,1.0,
Cote d'Ivoire,04/04/2020,245,1.0,
Cote d'Ivoire,05/04/2020,261,3.0,
Cote d'Ivoire,06/04/2020,323,3.0,
Cote d'Ivoire,07/04/2020,349,3.0,
Cote d'Ivoire,08/04/2020,384,3.0,
Cote d'Ivoire,09/04/2020,444,3.0,
Cote d'Ivoire,10/04/2020,444,3.0,
Cote d'Ivoire,11/04/2020,533,4.0,
Cote d'Ivoire,12/04/2020,574,5.0,
Cote d'Ivoire,13/04/2020,626,6.0,
Cote d'Ivoire,14/04/2020,638,6.0,
Cote d'Ivoire,15/04/2020,638,6.0,
Cote d'Ivoire,16/04/2020,654,6.0,
Cote d'Ivoire,17/04/2020,688,6.0,
Cote d'Ivoire,18/04/2020,801,8.0,
Cote d'Ivoire,19/04/2020,847,9.0,
Cote d'Ivoire,20/04/2020,847,9.0,
Cote d'Ivoire,21/04/2020,916,13.0,
Cote d'Ivoire,22/04/2020,952,14.0,
Cote d'Ivoire,23/04/2020,1004,14.0,
Cote d'Ivoire,24/04/2020,1077,14.0,
Cote d'Ivoire,25/04/2020,1077,14.0,
Cote d'Ivoire,26/04/2020,1150,14.0,
Cote d'Ivoire,27/04/2020,1164,14.0,
Cote d'Ivoire,28/04/2020,1183,14.0,
Cote d'Ivoire,29/04/2020,1238,14.0,
Cote d'Ivoire,30/04/2020,1275,14.0,
Cote d'Ivoire,01/05/2020,1333,15.0,
Cote d'Ivoire,02/05/2020,1362,15.0,
Cote d'Ivoire,03/05/2020,1398,17.0,
Cote d'Ivoire,04/05/2020,1432,17.0,
Cote d'Ivoire,05/05/2020,1464,18.0,
Cote d'Ivoire,06/05/2020,1516,18.0,
Cote d'Ivoire,07/05/2020,1571,20.0,
Cote d'Ivoire,08/05/2020,1602,20.0,
Cote d'Ivoire,09/05/2020,1667,21.0,
