annee;batiment;residentiel;tertiaire;industrie;agriculture;production_d_electricite_centralisee_et_cogeneration_industrielle;mobilite
2022;232.19709105051015;162.22464649887277;69.97244455163738;139.60000000000002;3.2;70.0;6.6
2027;193.57060353682382;139.34534152454694;54.22526201227689;128.60000000000008;3.7000000000000006;52.5;18.1
2030;166.5;120.7;45.8;122.0;4.0;42.0;25.0
2032;149.6883243069288;108.84785730001646;40.84046700691232;115.30000000000001;4.5;38.8;29.5
2037;117.97813071299376;86.81121378592799;31.16691692706577;98.55000000000004;5.75;30.79999999999999;40.75
2041;105.25979011208284;79.25832540836804;26.00146470371481;85.15000000000006;6.75;24.399999999999984;49.75
2043;101.35015977960025;77.28803038328402;24.062129396316223;78.45000000000007;7.25;21.19999999999998;54.25
2050;91.0247423351637;72.18563883999639;18.839103495167315;55.0;9.0;10.0;70.0
2020;243.0;168.0;75.0;144.0;3.0;77.0;2.0
2021;238.0426531373593;165.35046778190457;72.69218535545475;141.8;3.1;73.5;4.3
2026;202.12986105280663;144.82047275405864;57.309388298747976;130.80000000000007;3.6000000000000005;56.0;15.8
2046;96.64047524641103;75.0529363121048;21.58753893430622;68.40000000000009;8.0;16.399999999999977;61.0
2023;225.59624732195616;158.61221110630584;66.98403621565032;137.40000000000003;3.3000000000000003;66.5;8.899999999999999
2029;175.6101780564713;127.16464349711465;48.44553455935665;124.20000000000007;3.900000000000001;45.5;22.700000000000003
2039;110.38359555283637;82.062119635873;28.321475916963372;91.85000000000005;6.25;27.599999999999987;45.25
2040;107.63648777169043;80.5303577374647;27.106130034225725;88.50000000000006;6.5;25.999999999999986;47.5
2042;103.19175152518766;78.19864966559152;24.993101859596138;81.80000000000007;7.0;22.799999999999983;52.0
2047;95.15272827579028;74.3113408552234;20.841387420566868;65.0500000000001;8.25;14.799999999999978;63.25
2048;93.73970661428027;73.60257297427977;20.137133640000492;61.700000000000095;8.5;13.199999999999978;65.5
2024;218.31216165707235;154.5128553019511;63.79930635512125;135.20000000000005;3.4000000000000004;63.0;11.2
2031;157.70606608203013;114.44054300594303;43.26552307608711;118.65;4.25;40.4;27.25
2033;142.3533077668272;103.77503137884082;38.578276387986385;111.95000000000002;4.75;37.199999999999996;31.75
2038;113.78897443376448;84.11779787459976;29.67117655916472;95.20000000000005;6.0;29.19999999999999;43.0
2025;210.42082212157982;149.9138088713894;60.50701325019044;133.00000000000006;3.5000000000000004;59.5;13.5
2028;184.71479657325975;133.44598061710306;51.26881595615668;126.40000000000008;3.8000000000000007;49.0;20.400000000000002
2034;135.5746977120819;99.08794826908144;36.48674944300046;108.60000000000002;5.0;35.599999999999994;34.0
2035;128.96830714619776;94.41661604258776;34.55169110361;105.25000000000003;5.25;33.99999999999999;36.25
2036;123.08383207519796;90.28144307421194;32.80238900098603;101.90000000000003;5.5;32.39999999999999;38.5
2044;99.68711018117402;76.4950209692304;23.19208921194362;75.10000000000008;7.5;19.59999999999998;56.5
2045;98.12757515406031;75.75627224213136;22.37130291192895;71.75000000000009;7.75;17.99999999999998;58.75
2049;92.36559095264292;72.8949167851201;19.470674167522812;58.350000000000094;8.75;11.599999999999978;67.75
